,Team,skill,variance
<<<<<<< HEAD
0,Juventus,144.0632562320001,1.3555818393067074
1,Napoli,103.09947107947573,1.3788533614827994
2,Inter,63.00388782093389,1.456030090528101
3,Milan,62.32813161598298,1.4182925786036156
4,Roma,51.09562808770163,1.4999029562407427
5,Torino,44.1427363393025,1.6471154496466234
6,Sassuolo,43.335360942048816,1.6577910602645347
7,Lazio,39.456316485703574,1.345551202984238
8,Fiorentina,40.1207974145968,1.7447180238904396
9,Sampdoria,34.15058684959882,1.3942505344283533
10,Atalanta,25.24880906666581,1.3684502073548144
11,Genoa,16.26311927010811,1.6038691657576432
12,Spal,12.426223225076065,1.4171355788319613
13,Parma,6.6575313544093735,1.560637838052649
14,Cagliari,-3.6021037351786642,1.3436906251175271
15,Udinese,-5.6431828182738135,1.5830076020680486
16,Empoli,-22.154714452237254,1.3269904777026096
17,Bologna,-34.87448169625873,1.4453550892102738
18,Frosinone,-68.09441743959687,1.3815563614118789
19,Chievo,-84.70118484490285,1.585233444864694
=======
0,Juventus,136.69604356662785,1.3780526879345618
1,Napoli,99.53355482975724,1.4096632171356773
2,Milan,59.779718607688366,1.381567654407358
3,Inter,59.85459776596403,1.5393148929071738
4,Roma,50.83573686850733,1.4941472340107411
5,Torino,40.08009775786488,1.541303635620931
6,Sassuolo,40.148543699918875,1.6945796770044788
7,Fiorentina,39.721990251475496,1.747023220991156
8,Lazio,37.42477321993902,1.2877805364245605
9,Sampdoria,31.62439420942114,1.2796580804211724
10,Atalanta,29.934110350657274,1.5224667447238072
11,Genoa,15.142768809357793,1.5466273978767577
12,Spal,11.883339342318243,1.3678483243848352
13,Parma,6.707806930153768,1.5125310096037476
14,Udinese,-2.9582600595447404,1.491150392016458
15,Cagliari,-6.1943568231882065,1.376727883314912
16,Empoli,-26.5320288142567,1.32575320140159
17,Bologna,-35.41056787225448,1.4337126683782675
18,Frosinone,-65.56508662340575,1.4482480284237833
19,Chievo,-75.78446218458306,1.6474348114198234
>>>>>>> a5ed5b683251cd00018bc7d8eaebe3a007bed82b
